Car_Name,Year,Selling_Price,Present_Price,Transmission
ritz,2014,3.35,5.59,0
sx4,2013,4.75,9.54,0
ciaz,2017,7.25,9.85,0
wagon r,2011,2.85,4.15,0
swift,2014,4.6,6.87,0
vitara brezza,2018,9.25,9.83,0
ciaz,2015,6.75,8.12,0
s cross,2015,6.5,8.61,0
ciaz,2016,8.75,8.89,0
ciaz,2015,7.45,8.92,0
alto 800,2017,2.85,3.6,0
ciaz,2015,6.85,10.38,0
ciaz,2015,7.5,9.94,1
ertiga,2015,6.1,7.71,0
dzire,2009,2.25,7.21,0
ertiga,2016,7.75,10.79,0
ertiga,2015,7.25,10.79,0
ertiga,2016,7.75,10.79,0
wagon r,2015,3.25,5.09,0
sx4,2010,2.65,7.98,0
alto k10,2016,2.85,3.95,0
ignis,2017,4.9,5.71,0
sx4,2011,4.4,8.01,1
alto k10,2014,2.5,3.46,0
wagon r,2013,2.9,4.41,0
swift,2011,3,4.99,0
swift,2013,4.15,5.87,0
swift,2017,6,6.49,0
alto k10,2010,1.95,3.95,0
ciaz,2015,7.45,10.38,0
ritz,2012,3.1,5.98,0
ritz,2011,2.35,4.89,0
swift,2014,4.95,7.49,0
ertiga,2014,6,9.95,0
dzire,2014,5.5,8.06,0
sx4,2011,2.95,7.74,0
dzire,2015,4.65,7.2,0
800,2003,0.35,2.28,0
alto k10,2016,3,3.76,0
sx4,2003,2.25,7.98,0
baleno,2016,5.85,7.87,1
alto k10,2014,2.55,3.98,0
sx4,2008,1.95,7.15,0
dzire,2014,5.5,8.06,0
omni,2012,1.25,2.69,0
ciaz,2014,7.5,12.04,1
ritz,2013,2.65,4.89,0
wagon r,2006,1.05,4.15,0
ertiga,2015,5.8,7.71,0
ciaz,2017,7.75,9.29,1
fortuner,2012,14.9,30.61,1
fortuner,2015,23,30.61,1
innova,2017,18,19.77,1
fortuner,2013,16,30.61,1
innova,2005,2.75,10.21,0
corolla altis,2009,3.6,15.04,1
etios cross,2015,4.5,7.27,0
corolla altis,2010,4.75,18.54,0
etios g,2014,4.1,6.8,0
fortuner,2014,19.99,35.96,1
corolla altis,2013,6.95,18.61,0
etios cross,2015,4.5,7.7,0
fortuner,2014,18.75,35.96,1
fortuner,2015,23.5,35.96,1
fortuner,2017,33,36.23,1
etios liva,2014,4.75,6.95,0
innova,2017,19.75,23.15,1
fortuner,2010,9.25,20.45,0
corolla altis,2011,4.35,13.74,0
corolla altis,2016,14.25,20.91,0
etios liva,2014,3.95,6.76,0
corolla altis,2011,4.5,12.48,0
corolla altis,2013,7.45,18.61,0
etios liva,2011,2.65,5.71,0
etios cross,2014,4.9,8.93,0
etios g,2015,3.95,6.8,0
corolla altis,2013,5.5,14.68,0
corolla,2004,1.5,12.35,1
corolla altis,2010,5.25,22.83,1
fortuner,2012,14.5,30.61,1
corolla altis,2016,14.73,14.89,0
etios gd,2015,4.75,7.85,0
innova,2017,23,25.39,1
innova,2015,12.5,13.46,0
innova,2005,3.49,13.46,0
camry,2006,2.5,23.73,1
land cruiser,2010,35,92.6,0
corolla altis,2012,5.9,13.74,0
etios liva,2013,3.45,6.05,0
etios g,2014,4.75,6.76,0
corolla altis,2009,3.8,18.61,0
innova,2014,11.25,16.09,0
innova,2005,3.51,13.7,0
fortuner,2015,23,30.61,1
corolla altis,2008,4,22.78,1
corolla altis,2012,5.85,18.61,0
innova,2016,20.75,25.39,1
corolla altis,2017,17,18.64,0
corolla altis,2013,7.05,18.61,0
fortuner,2010,9.65,20.45,0
Royal Enfield Thunder 500,2016,1.75,1.9,0
UM Renegade Mojave,2017,1.7,1.82,0
KTM RC200,2017,1.65,1.78,0
Bajaj Dominar 400,2017,1.45,1.6,0
Royal Enfield Classic 350,2017,1.35,1.47,0
KTM RC390,2015,1.35,2.37,0
Hyosung GT250R,2014,1.35,3.45,0
Royal Enfield Thunder 350,2013,1.25,1.5,0
Royal Enfield Thunder 350,2016,1.2,1.5,0
Royal Enfield Classic 350,2017,1.2,1.47,0
KTM RC200,2016,1.2,1.78,0
Royal Enfield Thunder 350,2016,1.15,1.5,0
KTM 390 Duke ,2014,1.15,2.4,0
Mahindra Mojo XT300,2016,1.15,1.4,0
Royal Enfield Classic 350,2015,1.15,1.47,0
Royal Enfield Classic 350,2015,1.11,1.47,0
Royal Enfield Classic 350,2013,1.1,1.47,0
Royal Enfield Thunder 500,2015,1.1,1.9,0
Royal Enfield Classic 350,2015,1.1,1.47,0
Royal Enfield Thunder 500,2013,1.05,1.9,0
Bajaj Pulsar RS200,2016,1.05,1.26,0
Royal Enfield Thunder 350,2011,1.05,1.5,0
Royal Enfield Bullet 350,2016,1.05,1.17,0
Royal Enfield Classic 350,2013,1,1.47,0
Royal Enfield Classic 500,2012,0.95,1.75,0
Royal Enfield Classic 500,2009,0.9,1.75,0
Bajaj Avenger 220,2017,0.9,0.95,0
Bajaj Avenger 150,2016,0.75,0.8,0
Honda CB Hornet 160R,2017,0.8,0.87,0
Yamaha FZ S V 2.0,2017,0.78,0.84,0
Honda CB Hornet 160R,2017,0.75,0.87,0
Yamaha FZ 16,2015,0.75,0.82,0
Bajaj Avenger 220,2017,0.75,0.95,0
Bajaj Avenger 220,2016,0.72,0.95,0
TVS Apache RTR 160,2017,0.65,0.81,0
Bajaj Pulsar 150,2015,0.65,0.74,0
Honda CBR 150,2014,0.65,1.2,0
Hero Extreme,2013,0.65,0.787,0
Honda CB Hornet 160R,2016,0.6,0.87,0
Bajaj Avenger 220 dtsi,2015,0.6,0.95,0
Honda CBR 150,2013,0.6,1.2,0
Bajaj Avenger 150 street,2016,0.6,0.8,0
Yamaha FZ  v 2.0,2015,0.6,0.84,0
Yamaha FZ  v 2.0,2016,0.6,0.84,0
Bajaj Pulsar  NS 200,2014,0.6,0.99,0
TVS Apache RTR 160,2012,0.6,0.81,0
Hero Extreme,2014,0.55,0.787,0
Yamaha FZ S V 2.0,2015,0.55,0.84,0
Bajaj Pulsar 220 F,2010,0.52,0.94,0
Bajaj Pulsar 220 F,2016,0.51,0.94,0
TVS Apache RTR 180,2011,0.5,0.826,0
Hero Passion X pro,2016,0.5,0.55,0
Bajaj Pulsar NS 200,2012,0.5,0.99,0
Bajaj Pulsar NS 200,2013,0.5,0.99,0
Yamaha Fazer ,2014,0.5,0.88,0
Honda Activa 4G,2017,0.48,0.51,1
TVS Sport ,2017,0.48,0.52,0
Yamaha FZ S V 2.0,2015,0.48,0.84,0
Honda Dream Yuga ,2017,0.48,0.54,0
Honda Activa 4G,2017,0.45,0.51,1
Bajaj Avenger Street 220,2011,0.45,0.95,0
TVS Apache RTR 180,2014,0.45,0.826,0
Bajaj Pulsar NS 200,2012,0.45,0.99,0
Bajaj Avenger 220 dtsi,2010,0.45,0.95,0
Hero Splender iSmart,2016,0.45,0.54,0
Activa 3g,2016,0.45,0.54,1
Hero Passion Pro,2016,0.45,0.55,0
TVS Apache RTR 160,2014,0.42,0.81,0
Honda CB Trigger,2013,0.42,0.73,0
Hero Splender iSmart,2015,0.4,0.54,0
Yamaha FZ S ,2012,0.4,0.83,0
Hero Passion Pro,2015,0.4,0.55,0
Bajaj Pulsar 135 LS,2014,0.4,0.64,0
Activa 4g,2017,0.4,0.51,1
Honda CB Unicorn,2015,0.38,0.72,0
Hero Honda CBZ extreme,2011,0.38,0.787,0
Honda Karizma,2011,0.35,1.05,0
Honda Activa 125,2016,0.35,0.57,1
TVS Jupyter,2014,0.35,0.52,1
Honda Karizma,2010,0.31,1.05,0
Hero Honda Passion Pro,2012,0.3,0.51,0
Hero Splender Plus,2016,0.3,0.48,0
Honda CB Shine,2013,0.3,0.58,0
Bajaj Discover 100,2013,0.27,0.47,0
Bajaj Pulsar 150,2008,0.25,0.75,0
Suzuki Access 125,2008,0.25,0.58,1
TVS Wego,2010,0.25,0.52,1
Honda CB twister,2013,0.25,0.51,0
Hero Glamour,2013,0.25,0.57,0
Hero Super Splendor,2005,0.2,0.57,0
Bajaj Pulsar 150,2008,0.2,0.75,0
Bajaj Discover 125,2012,0.2,0.57,0
Hero Hunk,2007,0.2,0.75,0
Hero  Ignitor Disc,2013,0.2,0.65,0
Hero  CBZ Xtreme,2008,0.2,0.787,0
Bajaj  ct 100,2015,0.18,0.32,0
Activa 3g,2008,0.17,0.52,1
Honda CB twister,2010,0.16,0.51,0
Bajaj Discover 125,2011,0.15,0.57,0
Honda CB Shine,2007,0.12,0.58,0
Bajaj Pulsar 150,2006,0.1,0.75,0
i20,2010,3.25,6.79,0
grand i10,2015,4.4,5.7,0
i10,2011,2.95,4.6,0
eon,2015,2.75,4.43,0
grand i10,2016,5.25,5.7,0
xcent,2017,5.75,7.13,0
grand i10,2015,5.15,5.7,1
i20,2017,7.9,8.1,0
grand i10,2015,4.85,5.7,0
i10,2012,3.1,4.6,0
elantra,2015,11.75,14.79,0
creta,2016,11.25,13.6,0
i20,2011,2.9,6.79,0
grand i10,2017,5.25,5.7,0
verna,2012,4.5,9.4,0
eon,2016,2.9,4.43,0
eon,2016,3.15,4.43,0
verna,2014,6.45,9.4,0
verna,2012,4.5,9.4,0
eon,2017,3.5,4.43,0
i20,2013,4.5,6.79,1
i20,2014,6,7.6,0
verna,2015,8.25,9.4,0
verna,2013,5.11,9.4,1
i10,2011,2.7,4.6,0
grand i10,2015,5.25,5.7,0
i10,2011,2.55,4.43,0
verna,2012,4.95,9.4,0
i20,2012,3.1,6.79,0
verna,2013,6.15,9.4,0
verna,2017,9.25,9.4,0
elantra,2015,11.45,14.79,1
grand i10,2013,3.9,5.7,0
grand i10,2015,5.5,5.7,0
verna,2017,9.1,9.4,0
eon,2016,3.1,4.43,0
creta,2015,11.25,13.6,0
verna,2013,4.8,9.4,0
eon,2012,2,4.43,0
verna,2012,5.35,9.4,0
xcent,2015,4.75,7.13,0
xcent,2014,4.4,7.13,0
i20,2016,6.25,7.6,0
verna,2013,5.95,9.4,0
verna,2012,5.2,9.4,0
i20,2012,3.75,6.79,0
verna,2015,5.95,9.4,0
i10,2013,4,4.6,0
i20,2016,5.25,7.6,0
creta,2016,12.9,13.6,0
city,2013,5,9.9,0
brio,2015,5.4,6.82,1
city,2014,7.2,9.9,0
city,2013,5.25,9.9,0
brio,2012,3,5.35,0
city,2016,10.25,13.6,0
city,2015,8.5,13.6,0
city,2015,8.4,13.6,0
amaze,2014,3.9,7,0
city,2016,9.15,13.6,0
brio,2016,5.5,5.97,0
amaze,2015,4,5.8,0
jazz,2016,6.6,7.7,0
amaze,2015,4,7,0
jazz,2017,6.5,8.7,0
amaze,2014,3.65,7,0
city,2016,8.35,9.4,0
brio,2017,4.8,5.8,0
city,2015,6.7,10,0
city,2011,4.1,10,0
city,2009,3,10,0
city,2015,7.5,10,0
jazz,2010,2.25,7.5,0
brio,2014,5.3,6.8,0
city,2016,10.9,13.6,1
city,2015,8.65,13.6,0
city,2015,9.7,13.6,0
jazz,2016,6,8.4,0
city,2014,6.25,13.6,0
brio,2015,5.25,5.9,0
city,2006,2.1,7.6,0
city,2014,8.25,14,0
city,2016,8.99,11.8,0
brio,2013,3.5,5.9,0
jazz,2016,7.4,8.5,1
jazz,2016,5.65,7.9,0
amaze,2015,5.75,7.5,1
city,2015,8.4,13.6,0
city,2016,10.11,13.6,0
amaze,2014,4.5,6.4,0
brio,2015,5.4,6.1,0
jazz,2016,6.4,8.4,0
city,2010,3.25,9.9,0
amaze,2014,3.75,6.8,0
city,2015,8.55,13.09,0
city,2016,9.5,11.6,0
brio,2015,4,5.9,0
city,2009,3.35,11,0
city,2017,11.5,12.5,0
brio,2016,5.3,5.9,0
